local_level_id,local_level_name,district_name,province_name
1,Phaktanlung Rural Municipality,Taplejung,Province 1
2,Mikwakhola Rural Municipality,Taplejung,Province 1
3,Meringden Rural Municipality,Taplejung,Province 1
4,Maiwakhola Rural Municipality,Taplejung,Province 1
5,Aatharai Tribeni Rural Municipality,Taplejung,Province 1
6,Phungling Municipality,Taplejung,Province 1
7,Yangwarak Rural Municipality,Taplejung,Province 1
8,Sirijanga Rural Municipality,Taplejung,Province 1
9,Sidingba Rural Municipality,Taplejung,Province 1
10,Bhotkhola Rural Municipality,Sankhuwasabha,Province 1
11,Makalu Rural Municipality,Sankhuwasabha,Province 1
12,Silichong Rural Municipality,Sankhuwasabha,Province 1
13,Chichila Rural Municipality,Sankhuwasabha,Province 1
14,Sabhapokhari Rural Municipality,Sankhuwasabha,Province 1
15,Khandabari Municipality,Sankhuwasabha,Province 1
16,Panchakhapan Municipality,Sankhuwasabha,Province 1
17,Chainapur Municipality,Sankhuwasabha,Province 1
18,Madi Municipality,Sankhuwasabha,Province 1
19,Dharmadevi Municipality,Sankhuwasabha,Province 1
20,Khumbu Pasanglhamu Rural Municipality,Solukhumbu,Province 1
21,Mahakulung Rural Municipality,Solukhumbu,Province 1
22,Sotang Rural Municipality,Solukhumbu,Province 1
23,Dhudhakoshi Rural Municipality,Solukhumbu,Province 1
24,Dhudha Koushika Rural Municipality,Solukhumbu,Province 1
25,Necha Salyan Rural Municipality,Solukhumbu,Province 1
26,Solu Dhudhakunda Municipality,Solukhumbu,Province 1
27,Likhu Pike Rural Municipality,Solukhumbu,Province 1
28,Chishankhu Gadhi Rural Municipality,Okhaldhunga,Province 1
29,Siddhicharan Municipality,Okhaldhunga,Province 1
30,Molung Rural Municipality,Okhaldhunga,Province 1
31,Khiji Demba Rural Municipality,Okhaldhunga,Province 1
32,Likhu Rural Municipality,Okhaldhunga,Province 1
33,Champadevi Rural Municipality,Okhaldhunga,Province 1
34,Sunkoshi Rural Municipality,Okhaldhunga,Province 1
35,Manebhanjyang Rural Municipality,Okhaldhunga,Province 1
36,Kepilasgadhi Rural Municipality,Khotang,Province 1
37,Aiselukharka Rural Municipality,Khotang,Province 1
38,Lamidanda Rural Municipality,Khotang,Province 1
39,Halesi Tuwachung Municipality,Khotang,Province 1
40,Rupakot Majhuwagadhi Municipality,Khotang,Province 1
41,Sakela Rural Municipality,Khotang,Province 1
42,Diprung Rural Municipality,Khotang,Province 1
43,Khotehang Rural Municipality,Khotang,Province 1
44,Jante Dhunga Rural Municipality,Khotang,Province 1
45,Baraha Pokhari Rural Municipality,Khotang,Province 1
46,Shadananda Municipality,Bhojpur,Province 1
47,Salpa Silichho Rural Municipality,Bhojpur,Province 1
48,Tyamke Maiyum Rural Municipality,Bhojpur,Province 1
49,Bhojpur Municipality,Bhojpur,Province 1
50,Arun Rural Municipality,Bhojpur,Province 1
51,Pauwa Dunma Rural Municipality,Bhojpur,Province 1
52,Ramprasad Rai Rural Municipality,Bhojpur,Province 1
53,Hatuwagadhi Rural Municipality,Bhojpur,Province 1
54,Aamchowk Rural Municipality,Bhojpur,Province 1
55,Mahalaxmi Municipality,Dhankuta,Province 1
56,Pakhribas Municipality,Dhankuta,Province 1
57,Chhathar Jorpati Rural Municipality,Dhankuta,Province 1
58,Dhankuta Municipality,Dhankuta,Province 1
59,Khalsa Chhintang Sahidbhumi Rural Municipality,Dhankuta,Province 1
60,Sangurigadhi Rural Municipality,Dhankuta,Province 1
61,Chaubise Rural Municipality,Dhankuta,Province 1
62,Aatharai Rural Municipality,Terhathum,Province 1
63,Phedap Rural Municipality,Terhathum,Province 1
64,Menchhayayem Rural Municipality,Terhathum,Province 1
65,Myanglung Municipality,Terhathum,Province 1
66,Laligurans Municipality,Terhathum,Province 1
67,Chhathar Rural Municipality,Terhathum,Province 1
68,Yangbarak Rural Municipality,Panchthar,Province 1
69,Hilihan Rural Municipality,Panchthar,Province 1
70,Falelung Rural Municipality,Panchthar,Province 1
71,Phidim Municipality,Panchthar,Province 1
72,Falgunanda Rural Municipality,Panchthar,Province 1
73,Kummayak Rural Municipality,Panchthar,Province 1
74,Tumbewa Rural Municipality,Panchthar,Province 1
75,Miklajung Rural Municipality,Panchthar,Province 1
76,Mai Jogmai Rural Municipality,Ilam,Province 1
77,Sandakpur Rural Municipality,Ilam,Province 1
78,Ilam Municipality,Ilam,Province 1
79,Deumai Municipality,Ilam,Province 1
80,Fakfokathum Rural Municipality,Ilam,Province 1
81,Mangsebung Rural Municipality,Ilam,Province 1
82,Chulachuli Rural Municipality,Ilam,Province 1
83,Mai Municipality,Ilam,Province 1
84,Suryodaya Municipality,Ilam,Province 1
85,Rong Rural Municipality,Ilam,Province 1
86,Mechinagar Municipality,Jhapa,Province 1
87,Buddhashanti Rural Municipality,Jhapa,Province 1
88,Arjundhara Municipality,Jhapa,Province 1
89,Kankai Municipality,Jhapa,Province 1
90,Shivasatakshi Municipality,Jhapa,Province 1
91,Kamal Rural Municipality,Jhapa,Province 1
92,Damak Municipality,Jhapa,Province 1
93,Gauradaha Municipality,Jhapa,Province 1
94,Gauriganj Rural Municipality,Jhapa,Province 1
95,Jhapa Rural Municipality,Jhapa,Province 1
96,Barhadashi Rural Municipality,Jhapa,Province 1
97,Birtamod Municipality,Jhapa,Province 1
98,Haldibari Rural Municipality,Jhapa,Province 1
99,Bhadrapur Municipality,Jhapa,Province 1
100,Kachanakawal Rural Municipality,Jhapa,Province 1
101,Miklajung Rural Municipality,Morang,Province 1
102,Letang Municipality,Morang,Province 1
103,Kerabari Rural Municipality,Morang,Province 1
104,Sundarharaicha Municipality,Morang,Province 1
105,Belbari Municipality,Morang,Province 1
106,Kanepokhari Rural Municipality,Morang,Province 1
107,Pathari Shanishchare Municipality,Morang,Province 1
108,Urlabari Municipality,Morang,Province 1
109,Ratuwamai Municipality,Morang,Province 1
110,Sunwarshi Municipality,Morang,Province 1
111,Rangeli Municipality,Morang,Province 1
112,Gramthan Rural Municipality,Morang,Province 1
113,Budhiganga Rural Municipality,Morang,Province 1
114,Biratnagar Metropolitan City,Morang,Province 1
115,Katahari Rural Municipality,Morang,Province 1
116,Dhanapalthan Rural Municipality,Morang,Province 1
117,Jahada Rural Municipality,Morang,Province 1
118,Dharan Sub-Metropolitan City,Sunsari,Province 1
119,Baraha Municipality,Sunsari,Province 1
120,Koshi Rural Municipality,Sunsari,Province 1
121,Bhokraha Rural Municipality,Sunsari,Province 1
122,Ramdhuni Municipality,Sunsari,Province 1
123,Itahari Sub-Metropolitan City,Sunsari,Province 1
124,Duhabi Municipality,Sunsari,Province 1
125,Gadhi Rural Municipality,Sunsari,Province 1
126,Inaruwa Municipality,Sunsari,Province 1
127,Harinagara Rural Municipality,Sunsari,Province 1
128,Dewangunj Rural Municipality,Sunsari,Province 1
129,Barju Rural Municipality,Sunsari,Province 1
130,Belaka Municipality,Udayapur,Province 1
131,Chaudandigadhi Municipality,Udayapur,Province 1
132,Triyuga Municipality,Udayapur,Province 1
133,Rautamai Rural Municipality,Udayapur,Province 1
134,Sunkoshi Rural Municipality,Udayapur,Province 1
135,Tapli Rural Municipality,Udayapur,Province 1
136,Katari Municipality,Udayapur,Province 1
137,Udayapurgadhi Rural Municipality,Udayapur,Province 1
138,Saptakoshi Municipality,Saptari,Madhesh Province
139,Kanchanrup Municipality,Saptari,Madhesh Province
140,Agnisair Krishna Sabaran Rural Municipality,Saptari,Madhesh Province
141,Rupani Rural Municipality,Saptari,Madhesh Province
142,Shambhunath Municipality,Saptari,Madhesh Province
143,Khadak Municipality,Saptari,Madhesh Province
144,Surunga Municipality,Saptari,Madhesh Province
145,Balan-Bihul Rural Municipality,Saptari,Madhesh Province
146,BodeBarsain Municipality,Saptari,Madhesh Province
147,Dakneshwori Municipality,Saptari,Madhesh Province
148,Belhi Chapena Rural Municipality,Saptari,Madhesh Province
149,Bishnupur Rural Municipality,Saptari,Madhesh Province
150,Rajbiraj Municipality,Saptari,Madhesh Province
151,Mahadewa Rural Municipality,Saptari,Madhesh Province
152,Tirahut Rural Municipality,Saptari,Madhesh Province
153,Hanumannagar Kankalini Municipality,Saptari,Madhesh Province
154,Tilathi Koiladi Rural Municipality,Saptari,Madhesh Province
155,Chhinnamasta Rural Municipality,Saptari,Madhesh Province
156,Lahan Municipality,Siraha,Madhesh Province
157,Dhangadhimai Municipality,Siraha,Madhesh Province
158,Golbazar Municipality,Siraha,Madhesh Province
159,Mirchaiya Municipality,Siraha,Madhesh Province
160,Karjanha Municipality,Siraha,Madhesh Province
161,Kalyanpur Municipality,Siraha,Madhesh Province
162,Naraha Rural Municipality,Siraha,Madhesh Province
163,Bishnupur Rural Municipality,Siraha,Madhesh Province
164,Arnama Rural Municipality,Siraha,Madhesh Province
165,Sukhipur Municipality,Siraha,Madhesh Province
166,Laxmipur Patari Rural Municipality,Siraha,Madhesh Province
167,Sakhuwa Nankarkatti Rural Municipality,Siraha,Madhesh Province
168,Bhagawanpur Rural Municipality,Siraha,Madhesh Province
169,Nawarajpur Rural Municipality,Siraha,Madhesh Province
170,Bariyarpatti Rural Municipality,Siraha,Madhesh Province
171,Aurahi Rural Municipality,Siraha,Madhesh Province
172,Siraha Municipality,Siraha,Madhesh Province
173,DHANUSA,Dhanusa,Madhesh Province
174,Ganeshman Charnath Municipality,Dhanusa,Madhesh Province
175,Dhanushadham Municipality,Dhanusa,Madhesh Province
176,Mithila Municipality,Dhanusa,Madhesh Province
177,Bateshwor Rural Municipality,Dhanusa,Madhesh Province
178,Chhireshwornath Municipality,Dhanusa,Madhesh Province
179,Laxminiya Rural Municipality,Dhanusa,Madhesh Province
180,Mithila Bihari Municipality,Dhanusa,Madhesh Province
181,Hansapur Municipality,Dhanusa,Madhesh Province
182,Sabaila Municipality,Dhanusa,Madhesh Province
183,Shahidnagar Municipality,Dhanusa,Madhesh Province
184,Kamala Municipality,Dhanusa,Madhesh Province
185,Janak Nandini Rural Municipality,Dhanusa,Madhesh Province
186,Bideha Municipality,Dhanusa,Madhesh Province
187,Aurahi Rural Municipality,Dhanusa,Madhesh Province
188,Janakpur Sub-Metropolitan City,Dhanusa,Madhesh Province
189,Dhanauji Rural Municipality,Dhanusa,Madhesh Province
190,Nagarain Municipality,Dhanusa,Madhesh Province
191,Mukhiyapatti Musaharmiya Rural Municipality,Dhanusa,Madhesh Province
192,MAHOTTARI,Mahottari,Madhesh Province
193,Bardibas Municipality,Mahottari,Madhesh Province
194,Gaushala Municipality,Mahottari,Madhesh Province
195,Sonama Rural Municipality,Mahottari,Madhesh Province
196,Aurahi Municipality,Mahottari,Madhesh Province
197,Bhangaha Municipality,Mahottari,Madhesh Province
198,Loharpatti Municipality,Mahottari,Madhesh Province
199,Balawa Municipality,Mahottari,Madhesh Province
200,Ram Gopalpur Municipality,Mahottari,Madhesh Province
201,Samsi Rural Municipality,Mahottari,Madhesh Province
202,Manara Shisawa Municipality,Mahottari,Madhesh Province
203,Ekadara Rural Municipality,Mahottari,Madhesh Province
204,Mahottari Rural Municipality,Mahottari,Madhesh Province
205,Pipara Rural Municipality,Mahottari,Madhesh Province
206,Matihani Municipality,Mahottari,Madhesh Province
207,Jaleshwor Municipality,Mahottari,Madhesh Province
208,Lalbandi Municipality,Sarlahi,Madhesh Province
209,Hariwan Municipality,Sarlahi,Madhesh Province
210,Bagmati Municipality,Sarlahi,Madhesh Province
211,Barahathawa Municipality,Sarlahi,Madhesh Province
212,Haripur Municipality,Sarlahi,Madhesh Province
213,Ishworpur Municipality,Sarlahi,Madhesh Province
214,Haripurwa Municipality,Sarlahi,Madhesh Province
215,Parsa Rural Municipality,Sarlahi,Madhesh Province
216,Brahmapuri Rural Municipality,Sarlahi,Madhesh Province
217,Chandranagar Rural Municipality,Sarlahi,Madhesh Province
218,Kabilashi Municipality,Sarlahi,Madhesh Province
219,Chakraghatta Rural Municipality,Sarlahi,Madhesh Province
220,Basbariya Rural Municipality,Sarlahi,Madhesh Province
221,Dhanakaul Rural Municipality,Sarlahi,Madhesh Province
222,Ramnagar Rural Municipality,Sarlahi,Madhesh Province
223,Balara Municipality,Sarlahi,Madhesh Province
224,Godaita Municipality,Sarlahi,Madhesh Province
225,Bishnu Rural Municipality,Sarlahi,Madhesh Province
226,Kaudena Rural Municipality,Sarlahi,Madhesh Province
227,Malangawa Municipality,Sarlahi,Madhesh Province
228,Chandrapur Municipality,Rautahat,Madhesh Province
229,Gujara Municipality,Rautahat,Madhesh Province
230,Phatuwa Bijayapur Municipality,Rautahat,Madhesh Province
231,Katahariya Municipality,Rautahat,Madhesh Province
232,Brindaban Municipality,Rautahat,Madhesh Province
233,Gadhimai Municipality,Rautahat,Madhesh Province
234,Madhav Narayan Municipality,Rautahat,Madhesh Province
235,Garuda Municipality,Rautahat,Madhesh Province
236,Dewahi Gonahi Municipality,Rautahat,Madhesh Province
237,Maulapur Municipality,Rautahat,Madhesh Province
238,Boudhimai Municipality,Rautahat,Madhesh Province
239,Paroha Municipality,Rautahat,Madhesh Province
240,Rajpur Municipality,Rautahat,Madhesh Province
241,Yamunamai Rural Municipality,Rautahat,Madhesh Province
242,Durga Bhagawati Rural Municipality,Rautahat,Madhesh Province
243,Rajdevi Municipality,Rautahat,Madhesh Province
