local_level_id,local_level_name,district_id
1,Phaktanlung Rural Municipality,1
2,Mikwakhola Rural Municipality,1
3,Meringden Rural Municipality,1
4,Maiwakhola Rural Municipality,1
5,Aatharai Tribeni Rural Municipality,1
6,Phungling Municipality,1
7,Yangwarak Rural Municipality,1
8,Sirijanga Rural Municipality,1
9,Sidingba Rural Municipality,1
10,Bhotkhola Rural Municipality,2
11,Makalu Rural Municipality,2
12,Silichong Rural Municipality,2
13,Chichila Rural Municipality,2
14,Sabhapokhari Rural Municipality,2
15,Khandabari Municipality,2
16,Panchakhapan Municipality,2
17,Chainapur Municipality,2
18,Madi Municipality,2
19,Dharmadevi Municipality,2
20,Khumbu Pasanglhamu Rural Municipality,3
21,Mahakulung Rural Municipality,3
22,Sotang Rural Municipality,3
23,Dhudhakoshi Rural Municipality,3
24,Dhudha Koushika Rural Municipality,3
25,Necha Salyan Rural Municipality,3
26,Solu Dhudhakunda Municipality,3
27,Likhu Pike Rural Municipality,3
28,Chishankhu Gadhi Rural Municipality,4
29,Siddhicharan Municipality,4
30,Molung Rural Municipality,4
31,Khiji Demba Rural Municipality,4
32,Likhu Rural Municipality,4
33,Champadevi Rural Municipality,4
34,Sunkoshi Rural Municipality,4
35,Manebhanjyang Rural Municipality,4
36,Kepilasgadhi Rural Municipality,5
37,Aiselukharka Rural Municipality,5
38,Lamidanda Rural Municipality,5
39,Halesi Tuwachung Municipality,5
40,Rupakot Majhuwagadhi Municipality,5
41,Sakela Rural Municipality,5
42,Diprung Rural Municipality,5
43,Khotehang Rural Municipality,5
44,Jante Dhunga Rural Municipality,5
45,Baraha Pokhari Rural Municipality,5
46,Shadananda Municipality,6
47,Salpa Silichho Rural Municipality,6
48,Tyamke Maiyum Rural Municipality,6
49,Bhojpur Municipality,6
50,Arun Rural Municipality,6
51,Pauwa Dunma Rural Municipality,6
52,Ramprasad Rai Rural Municipality,6
53,Hatuwagadhi Rural Municipality,6
54,Aamchowk Rural Municipality,6
55,Mahalaxmi Municipality,7
56,Pakhribas Municipality,7
57,Chhathar Jorpati Rural Municipality,7
58,Dhankuta Municipality,7
59,Khalsa Chhintang Sahidbhumi Rural Municipality,7
60,Sangurigadhi Rural Municipality,7
61,Chaubise Rural Municipality,7
62,Aatharai Rural Municipality,8
63,Phedap Rural Municipality,8
64,Menchhayayem Rural Municipality,8
