local_level_id,local_level_name,district_id
1,Aamchowk Gaupalika (Bhojpur),6
2,Arun Gaupalika (Bhojpur),6
3,Bhojpur Nagarpalika (Bhojpur),6
4,Hatuwagadhi Gaupalika (Bhojpur),6
5,Pauwa Dunma Gaupalika (Bhojpur),6
6,Ramprasad Rai Gaupalika (Bhojpur),6
7,Salpa Silichho Gaupalika (Bhojpur),6
8,Shadananda Nagarpalika (Bhojpur),6
9,Temke Maiyum Gaupalika (Bhojpur),6
10,Chaubise Gaupalika (Dhankuta),7
11,Chhathar Jorpati Gaupalika (Dhankuta),7
12,Dhankuta Nagarpalika (Dhankuta),7
13,Khalsa Chhintang Sahidbhumi Gaupalika (Dhankuta),7
14,Mahalaxmi Nagarpalika (Dhankuta),7
15,Pakhribas Nagarpalika (Dhankuta),7
16,Sangurigadhi Gaupalika (Dhankuta),7
17,Chulachuli Gaupalika (Ilam),10
18,Deumai Nagarpalika (Ilam),10
19,Fakfokathum Gaupalika (Ilam),10
20,Illam Nagarpalika (Ilam),10
21,Mai Jogmai Gaupalika (Ilam),10
22,Mai Nagarpalika (Ilam),10
23,Mangsebung Gaupalika (Ilam),10
24,Rong Gaupalika (Ilam),10
25,Sandakpur Gaupalika (Ilam),10
26,Suryodaya Nagarpalika (Ilam),10
27,Arjundhara Nagarpalika (Jhapa),11
28,Barhadashi Gaupalika (Jhapa),11
29,Bhadrapur Nagarpalika (Jhapa),11
30,Birtamod Nagarpalika (Jhapa),11
31,Buddhashanti Gaupalika (Jhapa),11
32,Damak Nagarpalika (Jhapa),11
33,Gauradaha Nagarpalika (Jhapa),11
34,Gauriganj Gaupalika (Jhapa),11
35,Haldibari Gaupalika (Jhapa),11
36,Jhapa Gaupalika (Jhapa),11
37,Kachanakawal Gaupalika (Jhapa),11
38,Kamal Gaupalika (Jhapa),11
39,Kankai Nagarpalika (Jhapa),11
40,Mechinagar Nagarpalika (Jhapa),11
41,Shivasatakshi Nagarpalika (Jhapa),11
42,Aiselukharka Gaupalika (Khotang),5
43,Baraha Pokhari Gaupalika (Khotang),5
44,Diktal Rupakot Majhuwagadhi Nagarpalika (Khotang),5
45,Diprung Chuichumma Gaupalika (Khotang),5
46,Halesi Tuwachung Nagarpalika (Khotang),5
47,Jante Dhunga Gaupalika (Khotang),5
48,Kepilasgadhi Gaupalika (Khotang),5
49,Khotehang Gaupalika (Khotang),5
50,RawaBeshi Gaupalika (Khotang),5
51,Sakela Gaupalika (Khotang),5
52,Belbari Nagarpalika (Morang),12
53,Biratnagar Nagarpalika (Morang),12
54,Budhiganga Gaupalika (Morang),12
55,Dhanapalthan Gaupalika (Morang),12
56,Gramthan Gaupalika (Morang),12
57,Jahada Gaupalika (Morang),12
58,Kanepokhari Gaupalika (Morang),12
59,Katahari Gaupalika (Morang),12
60,Kerabari Gaupalika (Morang),12
61,Letang Bazar (Morang),12
62,Miklajung Gaupalika (Morang),12
63,Pathari Shanishchare Nagarpalika (Morang),12
64,Rangeli Nagarpalika (Morang),12
65,Ratuwamai Nagarpalika (Morang),12
66,Sundarharaicha Nagarpalika (Morang),12
67,Sunwarshi Nagarpalika (Morang),12
68,Urlabari Nagarpalika (Morang),12
69,Champadevi Gaupalika (Okhaldhunga),4
70,Chishankhu Gadhi Gaupalika (Okhaldhunga),4
71,Khiji Demba Gaupalika (Okhaldhunga),4
72,Likhu Gaupalika (Okhaldhunga),4
73,Manebhanjyang Gaupalika (Okhaldhunga),4
74,Molung Gaupalika (Okhaldhunga),4
75,Siddhicharan Nagarpalika (Okhaldhunga),4
76,Sunkoshi Gaupalika (Okhaldhunga),4
77,Falelung Gaupalika (Panchthar),9
78,Hilihan Gaupalika (Panchthar),9
79,Kummayak Gaupalika (Panchthar),9
80,Miklajung Gaupalika (Panchthar),9
81,Phalgunanda Gaupalika (Panchthar),9
82,Phidim Nagarpalika (Panchthar),9
83,Tumbewa Gaupalika (Panchthar),9
84,Yangbarak Gaupalika (Panchthar),9
85,Bhotkhola Gaupalika (Sankhuwasabha),2
86,Chainapur Nagarpalika (Sankhuwasabha),2
87,Chichila Gaupalika (Sankhuwasabha),2
88,Dharmadevi Nagarpalika (Sankhuwasabha),2
89,Khandabari Nagarpalika (Sankhuwasabha),2
90,Madi Nagarpalika (Sankhuwasabha),2
91,Makalu Gaupalika (Sankhuwasabha),2
92,Panchakhapan Nagarpalika (Sankhuwasabha),2
93,Sabhapokhari Gaupalika (Sankhuwasabha),2
94,Silichong Gaupalika (Sankhuwasabha),2
95,Dhudhakoshi Gaupalika (Solukhumbu),3
96,Dhudhkausika Gaupalika (Solukhumbu),3
97,Khumbu Pasanglhamu Gaupalika (Solukhumbu),3
98,Likhu Pike Gaupalika (Solukhumbu),3
99,Mahakulung Gaupalika (Solukhumbu),3
100,Necha Salyan Gaupalika (Solukhumbu),3
101,Solu Dhudhakunda Nagarpalika (Solukhumbu),3
102,Sotang Gaupalika (Solukhumbu),3
103,Baraha Chetra Nagarpalika (Sunsari),13
104,Barju Gaupalika (Sunsari),13
105,Bhokraha Narasinha Gaupalika (Sunsari),13
106,Dewangunj Gaupalika (Sunsari),13
107,Dharan Sub-Nagarpalika (Sunsari),13
108,Duhabi Nagarpalika (Sunsari),13
109,Gadhi Gaupalika (Sunsari),13
110,Harinagar Gaupalika (Sunsari),13
111,Inaruwa Nagarpalika (Sunsari),13
112,Itahari Sub-Nagarpalika (Sunsari),13
113,Koshi Gaupalika (Sunsari),13
114,Ramdhuni Nagarpalika (Sunsari),13
115,Fungling Gaupalika (Taplejung),1
116,Maiwakhola Gaupalika (Taplejung),1
117,Merinden Gaupalika (Taplejung),1
118,Pathivara yangwarak Gaupalika (Taplejung),1
119,Phaktanlung Gaupalika (Taplejung),1
120,Sidingba Gaupalika (Taplejung),1
121,Sirijanga Gaupalika (Taplejung),1
122,Aatharai Tribeni Gaupalika (Taplejung),1
123,Mikhwakhola Gaupalika (Taplejung),1
124,Aatharai Gaupalika (Terhathum),8
125,Chhathar Gaupalika (Terhathum),8
126,Laligurans Nagarpalika (Terhathum),8
127,Menchhayayem Gaupalika (Terhathum),8
128,Myanglung Nagarpalika (Terhathum),8
129,Phedap Gaupalika (Terhathum),8
130,Belaka Nagarpalika (Udayapur),14
131,Chaudandigadhi Nagarpalika (Udayapur),14
132,Katari Nagarpalika (Udayapur),14
133,Limchubung Gaupalika (Udayapur),14
134,Rautamai Gaupalika (Udayapur),14
135,Tapli Gaupalika (Udayapur),14
136,Triyuga Nagarpalika (Udayapur),14
137,Udayapurgadhi Gaupalika (Udayapur),14
138,Aadarsha Kotwal Gaupalika (Bara),21
139,Baragadhi Gaupalika (Bara),21
140,Bishrampur Gaupalika (Bara),21
141,Devtal Gaupalika (Bara),21
142,Jitpur Simara Sub-Nagarpalika (Bara),21
143,Kalaiya Sub-Nagarpalika (Bara),21
144,Karaiyamai Gaupalika (Bara),21
145,Kolhabi Nagarpalika (Bara),21
146,Mahagadhimai Nagarpalika (Bara),21
147,Nijagadh Nagarpalika (Bara),21
148,Pacharauta Nagarpalika (Bara),21
149,Parawanipur Gaupalika (Bara),21
150,Pheta Gaupalika (Bara),21
151,Prasauni Gaupalika (Bara),21
152,Simroungadh Nagarpalika (Bara),21
153,Subarna Gaupalika (Bara),21
154,Aurahi Gaupalika (Dhanusha),17
155,Bateshwor Gaupalika (Dhanusha),17
156,Bideha Nagarpalika (Dhanusha),17
157,Chhireshwornath Nagarpalika (Dhanusha),17
158,Dhanauji Gaupalika (Dhanusha),17
159,Dhanushadham Nagarpalika (Dhanusha),17
160,Ganeshman Charnath Nagarpalika (Dhanusha),17
161,Hansapur Nagarpalika (Dhanusha),17
162,Janak Nandini Gaupalika (Dhanusha),17
163,Janakpur Sub-Nagarpalika (Dhanusha),17
164,Kamala Nagarpalika (Dhanusha),17
165,Laxminiya Gaupalika (Dhanusha),17
166,Mithila Bihari Nagarpalika (Dhanusha),17
167,Mithila Nagarpalika (Dhanusha),17
168,Mukhiyapatti Musaharmiya Gaupalika (Dhanusha),17
169,Nagarain Nagarpalika (Dhanusha),17
170,Sabaila Nagarpalika (Dhanusha),17
171,Shahidnagar Nagarpalika (Dhanusha),17
172,Aurahi Nagarpalika (Mahottari),18
173,Balawa Nagarpalika (Mahottari),18
174,Bardibas Nagarpalika (Mahottari),18
175,Bhangaha Nagarpalika (Mahottari),18
176,Ekadara Gaupalika (Mahottari),18
177,Gaushala Nagarpalika (Mahottari),18
178,Jaleshwor Nagarpalika (Mahottari),18
179,Loharpatti Nagarpalika (Mahottari),18
180,Mahottari Gaupalika (Mahottari),18
181,Manara Shisawa Nagarpalika (Mahottari),18
182,Matihani Nagarpalika (Mahottari),18
183,Pipara Gaupalika (Mahottari),18
184,Ram Gopalpur Nagarpalika (Mahottari),18
185,Samsi Gaupalika (Mahottari),18
186,Sonama Gaupalika (Mahottari),18
187,Bahudarmai Nagarpalika (Parsa),22
188,Bindabasini Gaupalika (Parsa),22
189,Birgunj Nagarpalika (Parsa),22
190,Chhipaharmai Gaupalika (Parsa),22
191,Dhobini Gaupalika (Parsa),22
192,Jagarnathpur Gaupalika (Parsa),22
193,Jirabhawani Gaupalika (Parsa),22
194,Kalikamai Gaupalika (Parsa),22
195,Pakaha Mainpur Gaupalika (Parsa),22
