province_id, district_name, location_name, ward_no
7,Doti,Aadarsha Rural Municipality,1
7,Doti,Aadarsha Rural Municipality,2
7,Doti,Aadarsha Rural Municipality,3
7,Doti,Aadarsha Rural Municipality,4
7,Doti,Aadarsha Rural Municipality,5
7,Doti,Aadarsha Rural Municipality,6
7,Doti,Aadarsha Rural Municipality,7
5,Pyuthan,Aairawati Rural Municipality,1
5,Pyuthan,Aairawati Rural Municipality,2
5,Pyuthan,Aairawati Rural Municipality,3
5,Pyuthan,Aairawati Rural Municipality,4
5,Pyuthan,Aairawati Rural Municipality,5
5,Pyuthan,Aairawati Rural Municipality,6
7,Dadeldhura,Aalital Rural Municipality,2
7,Dadeldhura,Aalital Rural Municipality,1
7,Dadeldhura,Aalital Rural Municipality,3
7,Dadeldhura,Aalital Rural Municipality,4
7,Dadeldhura,Aalital Rural Municipality,5
7,Dadeldhura,Aalital Rural Municipality,6
7,Dadeldhura,Aalital Rural Municipality,7
7,Dadeldhura,Aalital Rural Municipality,8
1,Bhojpur,Aamchowk Rural Municipality,4
1,Bhojpur,Aamchowk Rural Municipality,1
1,Bhojpur,Aamchowk Rural Municipality,2
1,Bhojpur,Aamchowk Rural Municipality,3
1,Bhojpur,Aamchowk Rural Municipality,5
1,Bhojpur,Aamchowk Rural Municipality,6
1,Bhojpur,Aamchowk Rural Municipality,7
1,Bhojpur,Aamchowk Rural Municipality,8
1,Bhojpur,Aamchowk Rural Municipality,9
1,Bhojpur,Aamchowk Rural Municipality,10
4,Syangja,Aandhikhola Rural Municipality,1
4,Syangja,Aandhikhola Rural Municipality,2
4,Syangja,Aandhikhola Rural Municipality,3
4,Syangja,Aandhikhola Rural Municipality,4
4,Syangja,Aandhikhola Rural Municipality,5
4,Syangja,Aandhikhola Rural Municipality,6
4,Gorkha,Aarughat Rural Municipality,1
4,Gorkha,Aarughat Rural Municipality,2
4,Gorkha,Aarughat Rural Municipality,3
4,Gorkha,Aarughat Rural Municipality,4
4,Gorkha,Aarughat Rural Municipality,5
4,Gorkha,Aarughat Rural Municipality,6
4,Gorkha,Aarughat Rural Municipality,7
4,Gorkha,Aarughat Rural Municipality,8
4,Gorkha,Aarughat Rural Municipality,9
4,Gorkha,Aarughat Rural Municipality,10
6,Rukum,Aathabiskot Municipality,9
6,Rukum,Aathabiskot Municipality,1
6,Rukum,Aathabiskot Municipality,2
6,Rukum,Aathabiskot Municipality,3
6,Rukum,Aathabiskot Municipality,4
6,Rukum,Aathabiskot Municipality,5
6,Rukum,Aathabiskot Municipality,6
6,Rukum,Aathabiskot Municipality,7
6,Rukum,Aathabiskot Municipality,8
6,Rukum,Aathabiskot Municipality,10
6,Rukum,Aathabiskot Municipality,11
6,Rukum,Aathabiskot Municipality,12
6,Rukum,Aathabiskot Municipality,13
6,Rukum,Aathabiskot Municipality,14
6,Dailekh,Aathbis Municipality,1
6,Dailekh,Aathbis Municipality,2
6,Dailekh,Aathbis Municipality,3
6,Dailekh,Aathbis Municipality,4
6,Dailekh,Aathbis Municipality,5
6,Dailekh,Aathbis Municipality,6
6,Dailekh,Aathbis Municipality,7
6,Dailekh,Aathbis Municipality,8
6,Dailekh,Aathbis Municipality,9
6,Humla,Adanchuli Rural Municipality,3
6,Humla,Adanchuli Rural Municipality,1
6,Humla,Adanchuli Rural Municipality,2
6,Humla,Adanchuli Rural Municipality,4
6,Humla,Adanchuli Rural Municipality,5
6,Humla,Adanchuli Rural Municipality,6
2,Bara,Adarsha Kotwal Rural Municipality,3
2,Bara,Adarsha Kotwal Rural Municipality,4
2,Bara,Adarsha Kotwal Rural Municipality,1
2,Bara,Adarsha Kotwal Rural Municipality,2
2,Bara,Adarsha Kotwal Rural Municipality,5
2,Bara,Adarsha Kotwal Rural Municipality,6
2,Bara,Adarsha Kotwal Rural Municipality,7
2,Bara,Adarsha Kotwal Rural Municipality,8
2,Saptari,Agmisair Krishna Sabaran Rural Municipality,4
2,Saptari,Agmisair Krishna Sabaran Rural Municipality,1
2,Saptari,Agmisair Krishna Sabaran Rural Municipality,2
2,Saptari,Agmisair Krishna Sabaran Rural Municipality,3
2,Saptari,Agmisair Krishna Sabaran Rural Municipality,5
2,Saptari,Agmisair Krishna Sabaran Rural Municipality,6
1,Khotang,Aiselukharka Rural Municipality,1
1,Khotang,Aiselukharka Rural Municipality,2
1,Khotang,Aiselukharka Rural Municipality,3
