local_level_id,wards_count
1,10
2,7
3,12
4,9
5,6
6,8
7,6
8,14
9,9
10,8
11,6
12,10
13,7
14,9
15,10
16,10
17,6
18,9
19,7
20,12
21,6
22,10
23,6
24,6
25,5
26,14
27,11
28,7
29,10
30,10
31,7
32,10
33,9
34,6
35,5
36,7
37,7
38,7
39,9
40,15
41,11
42,7
43,6
44,15
45,7
46,11
47,6
48,7
49,9
50,6
51,5
52,11
53,19
54,7
55,7
56,7
57,7
58,7
59,7
60,10
61,9
62,9
63,10
64,9
65,10
66,12
67,9
68,9
69,10
70,8
71,9
72,9
73,9
74,8
75,12
76,10
77,8
78,7
79,5
80,8
81,7
82,14
83,5
84,6
85,5
86,11
87,5
88,9
89,11
90,9
91,6
92,9
93,6
94,5
95,7
96,9
97,5
98,5
99,5
100,6
101,10
102,5
103,11
104,6
105,8
106,7
107,20
108,12
109,6
110,7
111,10
112,20
113,8
114,9
115,11
116,6
117,6
118,6
119,7
120,7
121,8
122,5
123,5
124,7
125,6
126,9
127,6
128,10
129,5
130,9
131,10
132,14
133,5
134,8
135,5
136,16
137,8
138,8
139,7
140,5
141,7
142,24
143,27
144,8
145,11
146,10
147,13
148,9
149,5
150,7
151,7
152,11
153,8
154,6
155,5
156,9
157,10
158,5
159,9
160,11
161,9
162,6
163,25
164,9
165,7
166,10
167,11
168,6
169,9
170,13
171,9
172,9
173,11
174,14
175,9
176,6
177,12
178,12
179,9
180,6
181,10
182,9
183,7
184,9
185,7
186,8
187,9
188,5
189,32
190,5
191,5
192,6
193,5
194,5
195,5
196,9
197,5
198,10
199,6
200,5
201,9
202,9
203,10
204,9
205,5
206,9
207,9
208,9
209,9
210,9
211,9
212,9
213,9
214,9
215,11
216,9
217,9
218,5
219,6
220,6
221,7
222,10
223,7
224,10
225,14
226,12
227,11
228,6
229,16
230,6
231,6
232,11
233,12
234,11
235,8
236,5
237,12
238,11
239,18
240,6
241,8
242,7
243,9
244,7
245,7
246,12
247,9
248,9
249,11
250,15
251,10
252,7
253,17
254,12
255,6
256,7
257,5
258,5
259,5
260,5
261,5
262,14
263,13
264,12
265,11
266,24
267,6
268,12
269,5
270,5
271,5
272,22
273,10
274,10
275,9
276,9
277,10
278,29
279,7
280,11
281,13
282,9
283,13
284,16
285,10
286,9
287,8
288,8
289,7
290,7
291,5
292,5
293,14
294,6
295,7
296,11
297,7
298,8
299,9
300,8
301,9
302,9
303,9
304,7
305,8
306,7
307,14
308,6
309,10
310,9
311,12
312,7
313,8
314,12
315,11
316,12
317,13
318,12
319,9
320,13
321,15
322,9
323,9
324,9
325,32
326,10
327,10
328,9
329,11
330,11
331,7
332,14
333,5
334,29
335,10
336,6
337,9
338,12
339,9
340,19
341,5
342,10
343,8
344,9
345,9
346,12
347,13
348,13
349,7
350,8
351,5
352,6
353,6
354,5
355,8
356,5
357,6
358,6
359,7
360,6
361,9
362,7
363,14
364,9
365,5
366,7
367,6
368,5
369,6
370,5
371,5
372,14
373,5
374,7
375,8
376,14
377,7
378,6
379,7
380,11
381,9
382,8
383,5
384,14
385,7
386,12
387,7
388,7
389,13
390,8
391,7
392,6
393,10
394,14
395,5
396,9
397,11
398,10
399,8
400,7
401,6
402,5
403,10
404,5
405,8
406,8
407,7
408,7
409,8
410,14
411,10
412,9
413,8
414,11
415,9
416,12
417,33
418,7
419,11
420,9
421,6
422,9
423,10
424,9
425,10
426,11
427,5
428,9
429,5
430,9
431,5
432,5
433,5
434,5
435,5
436,8
437,10
438,7
439,7
440,5
441,8
442,6
443,7
444,6
445,17
446,18
447,6
448,17
449,15
450,6
451,9
452,14
453,6
454,8
455,7
456,11
457,6
458,6
459,9
460,8
461,10
462,11
463,7
464,7
465,5
466,14
467,14
468,6
469,6
470,13
471,9
472,14
473,5
474,5
475,7
476,8
477,12
478,10
479,8
480,9
481,8
482,12
483,14
484,8
485,6
486,6
487,8
488,15
489,6
490,23
491,9
492,9
493,9
494,11
495,6
496,12
497,9
498,10
499,9
500,7
501,8
502,7
503,8
504,19
505,9
506,7
507,9
508,7
509,19
510,8
511,6
512,7
513,7
514,6
515,7
516,7
517,8
518,9
519,14
520,6
521,8
522,11
523,7
524,10
525,12
526,12
527,11
528,8
529,11
530,6
531,8
532,16
533,6
534,9
535,18
536,7
537,13
538,5
539,9
540,8
541,7
542,6
543,8
544,5
545,10
546,8
547,14
548,6
549,6
550,7
551,8
552,5
553,5
554,8
555,10
556,6
557,9
558,6
559,7
560,6
561,10
562,9
563,7
564,7
565,8
566,5
567,7
568,9
569,14
570,8
571,19
572,12
573,9
574,5
575,7
576,13
577,7
578,8
579,6
580,7
581,11
582,7
583,13
584,7
585,7
586,17
587,9
588,7
589,7
590,9
591,13
592,6
593,8
594,6
595,11
596,8
597,6
598,6
599,6
600,6
601,7
602,9
603,9
604,11
605,11
606,6
607,6
608,5
609,6
610,8
611,8
612,5
613,9
614,13
615,13
616,11
617,9
618,9
619,13
620,10
621,5
622,7
623,8
624,7
625,6
626,8
627,9
628,8
629,11
630,7
631,9
632,9
633,9
634,9
635,9
636,11
637,14
638,11
639,9
640,11
641,14
642,10
643,14
644,14
645,11
646,10
647,12
648,12
649,7
650,6
651,5
652,7
653,6
654,7
655,15
656,6
657,10
658,13
659,16
660,10
661,6
662,14
663,10
664,11
665,9
666,6
667,7
668,8
669,10
670,14
671,8
672,9
673,7
674,14
675,8
676,11
677,7
678,8
679,9
680,6
681,10
682,10
683,6
684,9
685,8
686,9
687,11
688,7
689,7
690,11
691,5
692,9
693,7
694,7
695,5
696,7
697,9
698,9
699,10
700,10
701,6
702,7
703,6
704,7
705,5
706,9
707,8
708,6
709,11
710,5
711,5
712,5
713,12
714,6
715,6
716,5
717,6
718,9
719,8
